method,,negative,positive,micro avg,macro avg,weighted avg,accuracy
bpw_dict,precision,0.8085106382978723,0.4827586206896552,0.7317073170731707,0.6456346294937637,0.7091562729273662,
bpw_dict,recall,0.5467625899280576,0.22950819672131148,0.45,0.38813539332468455,0.45,
bpw_dict,f1-score,0.6523605150214592,0.3111111111111111,0.5572755417956657,0.48173581306628516,0.548279446828803,
bpw_dict,support,139.0,61.0,200.0,200.0,200.0,
slk,precision,0.8780487804878049,0.33783783783783783,0.5304347826086957,0.6079433091628214,0.713284442979565,
slk,recall,0.2589928057553957,0.4098360655737705,0.305,0.33441443566458307,0.305,
slk,f1-score,0.39999999999999997,0.3703703703703704,0.38730158730158737,0.3851851851851852,0.39096296296296296,
slk,support,139.0,61.0,200.0,200.0,200.0,
bawl_r,precision,0.8108108108108109,0.33962264150943394,0.42857142857142855,0.5752167261601224,0.6670984191738909,
bawl_r,recall,0.2158273381294964,0.8852459016393442,0.42,0.5505366198844204,0.42,
bawl_r,f1-score,0.3409090909090909,0.4909090909090909,0.42424242424242425,0.4159090909090909,0.3866590909090909,
bawl_r,support,139.0,61.0,200.0,200.0,200.0,
sentiws_dict,precision,0.7619047619047619,0.39759036144578314,0.601063829787234,0.5797475616752725,0.6507888697647733,
sentiws_dict,recall,0.5755395683453237,0.5409836065573771,0.565,0.5582615874513503,0.565,
sentiws_dict,f1-score,0.6557377049180327,0.45833333333333337,0.5824742268041238,0.557035519125683,0.5955293715846994,
sentiws_dict,support,139.0,61.0,200.0,200.0,200.0,
german_polarity_clues,precision,0.8181818181818182,0.4268292682926829,0.6408839779005525,0.6225055432372506,0.698819290465632,
german_polarity_clues,recall,0.5827338129496403,0.5737704918032787,0.58,0.5782521523764594,0.58,
german_polarity_clues,f1-score,0.680672268907563,0.48951048951048953,0.6089238845144357,0.5850913792090263,0.6223679261914556,
german_polarity_clues,support,139.0,61.0,200.0,200.0,200.0,
zeroshot,precision,0.8536585365853658,0.5584415584415584,,0.7060500475134621,0.7636173582515046,0.74
zeroshot,recall,0.7553956834532374,0.7049180327868853,,0.7301568581200613,0.74,0.74
zeroshot,f1-score,0.8015267175572518,0.6231884057971014,,0.7123575616771767,0.747133532470406,0.74
zeroshot,support,139.0,61.0,,200.0,200.0,0.74
guhr_pipe,precision,0.7128712871287128,0.8571428571428571,0.7222222222222222,0.7850070721357849,0.7568741159830269,
guhr_pipe,recall,0.5179856115107914,0.09836065573770492,0.39,0.30817313362424814,0.39,
guhr_pipe,f1-score,0.5999999999999999,0.17647058823529413,0.5064935064935066,0.388235294117647,0.4708235294117646,
guhr_pipe,support,139.0,61.0,200.0,200.0,200.0,
