method,,negative,neutral,positive,accuracy,macro avg,weighted avg
bpw_dict,precision,0.33587786259541985,0.5151175811870101,0.6907730673316709,0.5151155898043864,0.5139228370380337,0.5588535866541838
bpw_dict,recall,0.4520547945205479,0.6794682422451994,0.38579387186629527,0.5151155898043864,0.5057723028773475,0.5151155898043864
bpw_dict,f1-score,0.38540145985401464,0.5859872611464969,0.4950848972296693,0.5151155898043864,0.4888245394100603,0.5125794654916735
bpw_dict,support,292.0,677.0,718.0,0.5151155898043864,1687.0,1687.0
slk,precision,0.5178571428571429,0.5763358778625954,0.6439290586630286,0.5998814463544754,0.5793740264609223,0.594982062327989
slk,recall,0.2979452054794521,0.6691285081240768,0.6573816155988857,0.5998814463544754,0.5414851097341381,0.5998814463544754
slk,f1-score,0.3782608695652174,0.6192754613807245,0.6505858028945555,0.5998814463544754,0.5493740446134991,0.5908845689069856
slk,support,292.0,677.0,718.0,0.5998814463544754,1687.0,1687.0
bawl_r,precision,0.2474747474747475,0.5583941605839416,0.4699588477366255,0.4582098399525785,0.4252759185984382,0.46693890080192757
bawl_r,recall,0.1678082191780822,0.2259970457902511,0.7952646239554317,0.4582098399525785,0.396356629641255,0.4582098399525785
bawl_r,f1-score,0.19999999999999998,0.32176656151419564,0.5907915157785825,0.4582098399525785,0.37085269243092606,0.41518925339308393
bawl_r,support,292.0,677.0,718.0,0.4582098399525785,1687.0,1687.0
sentiws_dict,precision,0.2978723404255319,0.6759259259259259,0.5565509518477044,0.5074096028452875,0.5101164060663874,0.5596823702920919
sentiws_dict,recall,0.4794520547945205,0.32348596750369274,0.692200557103064,0.5074096028452875,0.49837952646709244,0.5074096028452875
sentiws_dict,f1-score,0.36745406824146987,0.4375624375624375,0.617008069522036,0.5074096028452875,0.47400819177531445,0.5018009200196213
sentiws_dict,support,292.0,677.0,718.0,0.5074096028452875,1687.0,1687.0
german_polarity_clues,precision,0.2276707530647986,0.5308988764044944,0.5868421052631579,0.45346769413159455,0.44847057824415026,0.5022234918789041
german_polarity_clues,recall,0.4452054794520548,0.2791728212703102,0.6211699164345403,0.45346769413159455,0.4485160723856351,0.45346769413159455
german_polarity_clues,f1-score,0.3012746234067208,0.3659244917715392,0.6035182679296346,0.45346769413159455,0.42357246103596485,0.4558560683684482
german_polarity_clues,support,292.0,677.0,718.0,0.45346769413159455,1687.0,1687.0
zeroshot,precision,0.37755102040816324,0.5380434782608695,0.5958986731001207,0.5198577356253705,0.5038310572563844,0.5348877178587309
zeroshot,recall,0.6335616438356164,0.29246676514032494,0.6880222841225627,0.5198577356253705,0.5380168976995013,0.5198577356253705
zeroshot,f1-score,0.4731457800511508,0.37894736842105264,0.638655462184874,0.5198577356253705,0.4969162035523591,0.5057857486927849
zeroshot,support,292.0,677.0,718.0,0.5198577356253705,1687.0,1687.0
guhr_pipe,precision,0.3611111111111111,0.41381536475145253,0.7666666666666667,0.4167160640189686,0.5138643808430768,0.5548690652328657
guhr_pipe,recall,0.13356164383561644,0.946824224519941,0.03203342618384401,0.4167160640189686,0.3708064315131338,0.4167160640189686
guhr_pipe,f1-score,0.19499999999999998,0.5759209344115005,0.061497326203208566,0.4167160640189686,0.27747275353823636,0.2910453780737935
guhr_pipe,support,292.0,677.0,718.0,0.4167160640189686,1687.0,1687.0
